Epoch 00009 | Loss 2.2953 | Accuracy 0.0850 
Epoch 00019 | Loss 2.2869 | Accuracy 0.1600 
Epoch 00029 | Loss 2.2737 | Accuracy 0.0900 
Epoch 00039 | Loss 2.2590 | Accuracy 0.2850 
Epoch 00049 | Loss 2.2360 | Accuracy 0.1950 
Epoch 00059 | Loss 2.2081 | Accuracy 0.2200 
Epoch 00069 | Loss 2.1874 | Accuracy 0.3050 
Epoch 00079 | Loss 2.1607 | Accuracy 0.2500 
Epoch 00089 | Loss 2.1476 | Accuracy 0.2450 
Epoch 00099 | Loss 2.1122 | Accuracy 0.2850 
Epoch 00109 | Loss 2.0869 | Accuracy 0.2650 
Epoch 00119 | Loss 2.0646 | Accuracy 0.3150 
Epoch 00129 | Loss 2.0470 | Accuracy 0.3450 
Epoch 00139 | Loss 2.0200 | Accuracy 0.3900 
Epoch 00149 | Loss 2.0158 | Accuracy 0.3500 
Epoch 00159 | Loss 2.0384 | Accuracy 0.2450 
Epoch 00169 | Loss 1.9759 | Accuracy 0.2900 
Epoch 00179 | Loss 1.9831 | Accuracy 0.3650 
Epoch 00189 | Loss 1.9504 | Accuracy 0.4150 
Epoch 00199 | Loss 1.9305 | Accuracy 0.3550 
Epoch 00209 | Loss 1.9089 | Accuracy 0.3700 
Epoch 00219 | Loss 1.9184 | Accuracy 0.3400 
Epoch 00229 | Loss 1.9041 | Accuracy 0.3400 
Epoch 00239 | Loss 1.9099 | Accuracy 0.3800 
Epoch 00249 | Loss 1.8772 | Accuracy 0.3650 
Epoch 00259 | Loss 1.8775 | Accuracy 0.4300 
Epoch 00269 | Loss 1.8555 | Accuracy 0.3000 
Epoch 00279 | Loss 1.8515 | Accuracy 0.3700 
Epoch 00289 | Loss 1.8519 | Accuracy 0.4250 
Epoch 00299 | Loss 1.8514 | Accuracy 0.3750 
Epoch 00309 | Loss 1.8219 | Accuracy 0.3850 
Epoch 00319 | Loss 1.8265 | Accuracy 0.3600 
Epoch 00329 | Loss 1.8233 | Accuracy 0.4250 
Epoch 00339 | Loss 1.8095 | Accuracy 0.3850 
Epoch 00349 | Loss 1.7856 | Accuracy 0.3500 
Epoch 00359 | Loss 1.7883 | Accuracy 0.4800 
Epoch 00369 | Loss 1.7768 | Accuracy 0.3800 
Epoch 00379 | Loss 1.7801 | Accuracy 0.3800 
Epoch 00389 | Loss 1.7624 | Accuracy 0.4600 
Epoch 00399 | Loss 1.7488 | Accuracy 0.4350 
Epoch 00409 | Loss 1.7867 | Accuracy 0.3550 
Epoch 00419 | Loss 1.7649 | Accuracy 0.4450 
Epoch 00429 | Loss 1.7480 | Accuracy 0.4000 
Epoch 00439 | Loss 1.7716 | Accuracy 0.4850 
Epoch 00449 | Loss 1.7593 | Accuracy 0.4250 
Epoch 00459 | Loss 1.7604 | Accuracy 0.4000 
Epoch 00469 | Loss 1.7571 | Accuracy 0.4000 
Epoch 00479 | Loss 1.8196 | Accuracy 0.3250 
Epoch 00489 | Loss 1.7093 | Accuracy 0.4400 
Epoch 00499 | Loss 1.7356 | Accuracy 0.3950 
Epoch 00509 | Loss 1.7299 | Accuracy 0.4450 
Epoch 00519 | Loss 1.8083 | Accuracy 0.3750 
Epoch 00529 | Loss 1.7414 | Accuracy 0.4200 
Epoch 00539 | Loss 1.7042 | Accuracy 0.4850 
Epoch 00549 | Loss 1.6970 | Accuracy 0.4150 
Epoch 00559 | Loss 1.6947 | Accuracy 0.4050 
Epoch 00569 | Loss 1.6873 | Accuracy 0.4150 
Epoch 00579 | Loss 1.7671 | Accuracy 0.3700 
Epoch 00589 | Loss 1.7154 | Accuracy 0.5050 
Epoch 00599 | Loss 1.7006 | Accuracy 0.3950 
Epoch 00609 | Loss 1.6794 | Accuracy 0.4050 
Epoch 00619 | Loss 1.6911 | Accuracy 0.4150 
Epoch 00629 | Loss 1.6796 | Accuracy 0.4850 
Epoch 00639 | Loss 1.6522 | Accuracy 0.3700 
Epoch 00649 | Loss 1.6830 | Accuracy 0.4150 
Epoch 00659 | Loss 1.7244 | Accuracy 0.4750 
Epoch 00669 | Loss 1.6575 | Accuracy 0.4250 
Epoch 00679 | Loss 1.6815 | Accuracy 0.4100 
Epoch 00689 | Loss 1.6621 | Accuracy 0.4700 
Epoch 00699 | Loss 1.6646 | Accuracy 0.4000 
Epoch 00709 | Loss 1.6422 | Accuracy 0.4450 
Epoch 00719 | Loss 1.6880 | Accuracy 0.4800 
Epoch 00729 | Loss 1.7014 | Accuracy 0.3600 
Epoch 00739 | Loss 1.6523 | Accuracy 0.4500 
Epoch 00749 | Loss 1.6624 | Accuracy 0.3400 
Epoch 00759 | Loss 1.6415 | Accuracy 0.4850 
Epoch 00769 | Loss 1.6749 | Accuracy 0.3850 
Epoch 00779 | Loss 1.6659 | Accuracy 0.4800 
Epoch 00789 | Loss 1.6516 | Accuracy 0.4850 
Epoch 00799 | Loss 1.6309 | Accuracy 0.4000 
Epoch 00809 | Loss 1.6407 | Accuracy 0.4450 
Epoch 00819 | Loss 1.6866 | Accuracy 0.4150 
Epoch 00829 | Loss 1.7394 | Accuracy 0.4050 
Epoch 00839 | Loss 1.7553 | Accuracy 0.4850 
Epoch 00849 | Loss 1.6428 | Accuracy 0.4500 
Epoch 00859 | Loss 1.6193 | Accuracy 0.4200 
Epoch 00869 | Loss 1.6419 | Accuracy 0.4300 
Epoch 00879 | Loss 1.6382 | Accuracy 0.4100 
Epoch 00889 | Loss 1.6244 | Accuracy 0.4900 
Epoch 00899 | Loss 1.6769 | Accuracy 0.3850 
Epoch 00909 | Loss 1.6461 | Accuracy 0.4200 
Epoch 00919 | Loss 1.6133 | Accuracy 0.5100 
Epoch 00929 | Loss 1.6238 | Accuracy 0.4050 
Epoch 00939 | Loss 1.6664 | Accuracy 0.4350 
Epoch 00949 | Loss 1.7682 | Accuracy 0.4350 
Epoch 00959 | Loss 1.6666 | Accuracy 0.4750 
Epoch 00969 | Loss 1.6639 | Accuracy 0.3900 
Epoch 00979 | Loss 1.6249 | Accuracy 0.4550 
Epoch 00989 | Loss 1.6645 | Accuracy 0.4300 
Epoch 00999 | Loss 1.6174 | Accuracy 0.3800 
Epoch 01009 | Loss 1.6428 | Accuracy 0.4250 
Epoch 01019 | Loss 1.6301 | Accuracy 0.4650 
Epoch 01029 | Loss 1.5788 | Accuracy 0.4300 
Epoch 01039 | Loss 1.6060 | Accuracy 0.4800 
Epoch 01049 | Loss 1.6101 | Accuracy 0.4750 
Epoch 01059 | Loss 1.7149 | Accuracy 0.4450 
Epoch 01069 | Loss 1.6587 | Accuracy 0.4150 
Epoch 01079 | Loss 1.6119 | Accuracy 0.4300 
Epoch 01089 | Loss 1.5861 | Accuracy 0.4500 
Epoch 01099 | Loss 1.5925 | Accuracy 0.4650 
Epoch 01109 | Loss 1.7074 | Accuracy 0.4300 
Epoch 01119 | Loss 1.5902 | Accuracy 0.4700 
Epoch 01129 | Loss 1.6299 | Accuracy 0.4150 
Epoch 01139 | Loss 1.5888 | Accuracy 0.5000 
Epoch 01149 | Loss 1.6423 | Accuracy 0.4250 
Epoch 01159 | Loss 1.5829 | Accuracy 0.4500 
Epoch 01169 | Loss 1.6397 | Accuracy 0.4450 
Epoch 01179 | Loss 1.5999 | Accuracy 0.4550 
Epoch 01189 | Loss 1.5965 | Accuracy 0.4150 
Epoch 01199 | Loss 1.6182 | Accuracy 0.4200 
Epoch 01209 | Loss 1.5864 | Accuracy 0.4850 
Epoch 01219 | Loss 1.6311 | Accuracy 0.4350 
Epoch 01229 | Loss 1.6272 | Accuracy 0.4550 
Epoch 01239 | Loss 1.6004 | Accuracy 0.4000 
Epoch 01249 | Loss 1.5909 | Accuracy 0.5300 
Epoch 01259 | Loss 1.6154 | Accuracy 0.4300 
Epoch 01269 | Loss 1.6982 | Accuracy 0.4650 
Epoch 01279 | Loss 1.5650 | Accuracy 0.4450 
Epoch 01289 | Loss 1.5952 | Accuracy 0.3700 
Epoch 01299 | Loss 1.6917 | Accuracy 0.4350 
Epoch 01309 | Loss 1.7659 | Accuracy 0.5150 
Epoch 01319 | Loss 1.5456 | Accuracy 0.4500 
Epoch 01329 | Loss 1.6246 | Accuracy 0.3900 
Epoch 01339 | Loss 1.6516 | Accuracy 0.4750 
Epoch 01349 | Loss 1.6100 | Accuracy 0.4850 
Epoch 01359 | Loss 1.6377 | Accuracy 0.4800 
Epoch 01369 | Loss 1.5831 | Accuracy 0.4850 
Epoch 01379 | Loss 1.6067 | Accuracy 0.4800 
Epoch 01389 | Loss 1.5939 | Accuracy 0.4550 
Epoch 01399 | Loss 1.5979 | Accuracy 0.4250 
Epoch 01409 | Loss 1.5638 | Accuracy 0.4350 
Epoch 01419 | Loss 1.5635 | Accuracy 0.4250 
Epoch 01429 | Loss 1.6001 | Accuracy 0.5250 
Epoch 01439 | Loss 1.5462 | Accuracy 0.4400 
Epoch 01449 | Loss 1.6042 | Accuracy 0.4900 
Epoch 01459 | Loss 1.5851 | Accuracy 0.4000 
Epoch 01469 | Loss 1.7305 | Accuracy 0.4900 
Epoch 01479 | Loss 1.5984 | Accuracy 0.4350 
Epoch 01489 | Loss 1.6134 | Accuracy 0.4450 
Epoch 01499 | Loss 1.5671 | Accuracy 0.4250 
Epoch 01509 | Loss 1.6731 | Accuracy 0.4950 
Epoch 01519 | Loss 1.5348 | Accuracy 0.4450 
Epoch 01529 | Loss 1.5350 | Accuracy 0.4950 
Epoch 01539 | Loss 1.6065 | Accuracy 0.4500 
Epoch 01549 | Loss 1.5528 | Accuracy 0.4350 
Epoch 01559 | Loss 1.5479 | Accuracy 0.4850 
Epoch 01569 | Loss 1.5414 | Accuracy 0.4650 
Epoch 01579 | Loss 1.5713 | Accuracy 0.4100 
Epoch 01589 | Loss 1.5626 | Accuracy 0.5000 
Epoch 01599 | Loss 1.5849 | Accuracy 0.4350 
Epoch 01609 | Loss 1.5627 | Accuracy 0.3750 
Epoch 01619 | Loss 1.6812 | Accuracy 0.5000 
Epoch 01629 | Loss 1.5734 | Accuracy 0.3750 
Epoch 01639 | Loss 1.5752 | Accuracy 0.5200 
Epoch 01649 | Loss 1.5819 | Accuracy 0.4250 
Epoch 01659 | Loss 1.5637 | Accuracy 0.4100 
Epoch 01669 | Loss 1.5761 | Accuracy 0.5350 
