Epoch 00009 | Loss 2.3018 | Accuracy 0.0600 
Epoch 00019 | Loss 2.3015 | Accuracy 0.1133 
Epoch 00029 | Loss 2.2990 | Accuracy 0.1400 
Epoch 00039 | Loss 2.2961 | Accuracy 0.1067 
Epoch 00049 | Loss 2.2914 | Accuracy 0.1067 
Epoch 00059 | Loss 2.2858 | Accuracy 0.1467 
Epoch 00069 | Loss 2.2734 | Accuracy 0.1133 
Epoch 00079 | Loss 2.2647 | Accuracy 0.1200 
Epoch 00089 | Loss 2.2496 | Accuracy 0.0867 
Epoch 00099 | Loss 2.2300 | Accuracy 0.0933 
Epoch 00109 | Loss 2.2165 | Accuracy 0.2133 
Epoch 00119 | Loss 2.2014 | Accuracy 0.1667 
Epoch 00129 | Loss 2.2000 | Accuracy 0.1333 
Epoch 00139 | Loss 2.1903 | Accuracy 0.1667 
Epoch 00149 | Loss 2.1847 | Accuracy 0.2067 
Epoch 00159 | Loss 2.1821 | Accuracy 0.1600 
Epoch 00169 | Loss 2.1516 | Accuracy 0.1933 
Epoch 00179 | Loss 2.1497 | Accuracy 0.1333 
Epoch 00189 | Loss 2.1464 | Accuracy 0.1400 
Epoch 00199 | Loss 2.1190 | Accuracy 0.1000 
Epoch 00209 | Loss 2.1336 | Accuracy 0.1000 
Epoch 00219 | Loss 2.1270 | Accuracy 0.0933 
Epoch 00229 | Loss 2.1234 | Accuracy 0.1867 
Epoch 00239 | Loss 2.0958 | Accuracy 0.1533 
Epoch 00249 | Loss 2.0955 | Accuracy 0.1333 
Epoch 00259 | Loss 2.1046 | Accuracy 0.1600 
Epoch 00269 | Loss 2.0985 | Accuracy 0.1000 
Epoch 00279 | Loss 2.0939 | Accuracy 0.1667 
Epoch 00289 | Loss 2.0680 | Accuracy 0.1667 
Epoch 00299 | Loss 2.0515 | Accuracy 0.1867 
Epoch 00309 | Loss 2.0688 | Accuracy 0.2467 
Epoch 00319 | Loss 2.0553 | Accuracy 0.1933 
Epoch 00329 | Loss 2.0589 | Accuracy 0.1000 
Epoch 00339 | Loss 2.0427 | Accuracy 0.1200 
Epoch 00349 | Loss 2.0231 | Accuracy 0.1733 
Epoch 00359 | Loss 2.0242 | Accuracy 0.1000 
Epoch 00369 | Loss 2.0252 | Accuracy 0.1400 
Epoch 00379 | Loss 2.0580 | Accuracy 0.1933 
Epoch 00389 | Loss 2.0294 | Accuracy 0.2133 
Epoch 00399 | Loss 2.0444 | Accuracy 0.1267 
Epoch 00409 | Loss 2.0437 | Accuracy 0.1667 
Epoch 00419 | Loss 2.0215 | Accuracy 0.1600 
Epoch 00429 | Loss 2.0627 | Accuracy 0.1333 
Epoch 00439 | Loss 2.0421 | Accuracy 0.2000 
Epoch 00449 | Loss 2.0168 | Accuracy 0.2333 
Epoch 00459 | Loss 2.0061 | Accuracy 0.1533 
Epoch 00469 | Loss 2.0032 | Accuracy 0.2467 
Epoch 00479 | Loss 1.9961 | Accuracy 0.1533 
Epoch 00489 | Loss 1.9590 | Accuracy 0.1400 
Epoch 00499 | Loss 1.9929 | Accuracy 0.2000 
