Epoch 00009 | Loss 2.2991 | Accuracy 0.0800 
Epoch 00019 | Loss 2.2956 | Accuracy 0.0600 
Epoch 00029 | Loss 2.2917 | Accuracy 0.0950 
Epoch 00039 | Loss 2.2847 | Accuracy 0.0850 
Epoch 00049 | Loss 2.2755 | Accuracy 0.1100 
Epoch 00059 | Loss 2.2644 | Accuracy 0.1200 
Epoch 00069 | Loss 2.2398 | Accuracy 0.1150 
Epoch 00079 | Loss 2.2296 | Accuracy 0.2100 
Epoch 00089 | Loss 2.2072 | Accuracy 0.2350 
Epoch 00099 | Loss 2.1864 | Accuracy 0.2150 
Epoch 00109 | Loss 2.1584 | Accuracy 0.2100 
Epoch 00119 | Loss 2.1492 | Accuracy 0.3150 
Epoch 00129 | Loss 2.1175 | Accuracy 0.3000 
Epoch 00139 | Loss 2.0962 | Accuracy 0.3050 
Epoch 00149 | Loss 2.0787 | Accuracy 0.3000 
Epoch 00159 | Loss 2.0622 | Accuracy 0.2400 
Epoch 00169 | Loss 2.0555 | Accuracy 0.2300 
Epoch 00179 | Loss 2.0221 | Accuracy 0.2550 
Epoch 00189 | Loss 1.9964 | Accuracy 0.2450 
Epoch 00199 | Loss 1.9805 | Accuracy 0.3300 
Epoch 00209 | Loss 1.9846 | Accuracy 0.2600 
Epoch 00219 | Loss 1.9732 | Accuracy 0.2200 
Epoch 00229 | Loss 1.9444 | Accuracy 0.2950 
Epoch 00239 | Loss 1.9166 | Accuracy 0.2450 
Epoch 00249 | Loss 1.9253 | Accuracy 0.2950 
Epoch 00259 | Loss 1.9422 | Accuracy 0.2800 
Epoch 00269 | Loss 1.8903 | Accuracy 0.2300 
Epoch 00279 | Loss 1.8986 | Accuracy 0.2400 
Epoch 00289 | Loss 1.9256 | Accuracy 0.2850 
Epoch 00299 | Loss 1.8966 | Accuracy 0.3300 
Epoch 00309 | Loss 1.8826 | Accuracy 0.2600 
Epoch 00319 | Loss 1.8676 | Accuracy 0.3450 
Epoch 00329 | Loss 1.8766 | Accuracy 0.2750 
Epoch 00339 | Loss 1.8102 | Accuracy 0.2700 
Epoch 00349 | Loss 1.8431 | Accuracy 0.3050 
Epoch 00359 | Loss 1.8699 | Accuracy 0.2800 
Epoch 00369 | Loss 1.8644 | Accuracy 0.2900 
Epoch 00379 | Loss 1.8250 | Accuracy 0.2850 
Epoch 00389 | Loss 1.8146 | Accuracy 0.3250 
Epoch 00399 | Loss 1.8358 | Accuracy 0.3150 
Epoch 00409 | Loss 1.8432 | Accuracy 0.2250 
Epoch 00419 | Loss 1.8537 | Accuracy 0.2800 
Epoch 00429 | Loss 1.8171 | Accuracy 0.3800 
Epoch 00439 | Loss 1.8474 | Accuracy 0.2350 
Epoch 00449 | Loss 1.8465 | Accuracy 0.3450 
Epoch 00459 | Loss 1.8212 | Accuracy 0.3050 
Epoch 00469 | Loss 1.8410 | Accuracy 0.2550 
Epoch 00479 | Loss 1.8536 | Accuracy 0.3100 
Epoch 00489 | Loss 1.7985 | Accuracy 0.3300 
Epoch 00499 | Loss 1.8103 | Accuracy 0.3600 
Epoch 00509 | Loss 1.8091 | Accuracy 0.2500 
Epoch 00519 | Loss 1.8096 | Accuracy 0.3250 
Epoch 00529 | Loss 1.7927 | Accuracy 0.3150 
Epoch 00539 | Loss 1.7692 | Accuracy 0.3050 
Epoch 00549 | Loss 1.8028 | Accuracy 0.2800 
Epoch 00559 | Loss 1.7750 | Accuracy 0.3400 
