Epoch 00009 | Loss 2.2995 | Accuracy 0.0650 
Epoch 00019 | Loss 2.2723 | Accuracy 0.1050 
Epoch 00029 | Loss 2.2262 | Accuracy 0.2000 
Epoch 00039 | Loss 2.1687 | Accuracy 0.2300 
Epoch 00049 | Loss 2.0787 | Accuracy 0.3350 
Epoch 00059 | Loss 1.9209 | Accuracy 0.4400 
Epoch 00069 | Loss 1.8149 | Accuracy 0.3800 
Epoch 00079 | Loss 1.6556 | Accuracy 0.5600 
Epoch 00089 | Loss 1.5549 | Accuracy 0.5500 
Epoch 00099 | Loss 1.4859 | Accuracy 0.5850 
Epoch 00109 | Loss 1.4358 | Accuracy 0.4750 
Epoch 00119 | Loss 1.3325 | Accuracy 0.5050 
Epoch 00129 | Loss 1.2986 | Accuracy 0.7300 
Epoch 00139 | Loss 1.2396 | Accuracy 0.6100 
Epoch 00149 | Loss 1.1718 | Accuracy 0.6000 
Epoch 00159 | Loss 1.1799 | Accuracy 0.7450 
Epoch 00169 | Loss 1.1491 | Accuracy 0.6950 
Epoch 00179 | Loss 1.1378 | Accuracy 0.5050 
Epoch 00189 | Loss 1.0650 | Accuracy 0.7450 
Epoch 00199 | Loss 1.0502 | Accuracy 0.7200 
Epoch 00209 | Loss 1.0391 | Accuracy 0.5350 
Epoch 00219 | Loss 1.0709 | Accuracy 0.6600 
Epoch 00229 | Loss 1.0280 | Accuracy 0.7650 
Epoch 00239 | Loss 1.1204 | Accuracy 0.6750 
Epoch 00249 | Loss 1.0949 | Accuracy 0.6800 
Epoch 00259 | Loss 0.9854 | Accuracy 0.6950 
Epoch 00269 | Loss 0.9249 | Accuracy 0.8150 
Epoch 00279 | Loss 0.8984 | Accuracy 0.6600 
Epoch 00289 | Loss 1.0100 | Accuracy 0.7800 
Epoch 00299 | Loss 1.0066 | Accuracy 0.7000 
Epoch 00309 | Loss 0.8762 | Accuracy 0.8350 
Epoch 00319 | Loss 0.9107 | Accuracy 0.8150 
Epoch 00329 | Loss 0.8688 | Accuracy 0.6650 
Epoch 00339 | Loss 0.9946 | Accuracy 0.8150 
Epoch 00349 | Loss 0.8788 | Accuracy 0.7550 
Epoch 00359 | Loss 0.8952 | Accuracy 0.7750 
