Epoch 00009 | Loss 2.2838 | Accuracy 0.0800 
Epoch 00019 | Loss 2.2580 | Accuracy 0.2067 
Epoch 00029 | Loss 2.2233 | Accuracy 0.2333 
Epoch 00039 | Loss 2.1664 | Accuracy 0.4400 
Epoch 00049 | Loss 2.0803 | Accuracy 0.4200 
Epoch 00059 | Loss 1.9699 | Accuracy 0.4200 
Epoch 00069 | Loss 1.8724 | Accuracy 0.4333 
Epoch 00079 | Loss 1.7790 | Accuracy 0.4533 
Epoch 00089 | Loss 1.6985 | Accuracy 0.5133 
Epoch 00099 | Loss 1.6110 | Accuracy 0.5067 
Epoch 00109 | Loss 1.5805 | Accuracy 0.4800 
Epoch 00119 | Loss 1.5306 | Accuracy 0.5733 
Epoch 00129 | Loss 1.4408 | Accuracy 0.5867 
Epoch 00139 | Loss 1.4391 | Accuracy 0.5333 
Epoch 00149 | Loss 1.3902 | Accuracy 0.5467 
Epoch 00159 | Loss 1.3410 | Accuracy 0.6267 
Epoch 00169 | Loss 1.3222 | Accuracy 0.5267 
Epoch 00179 | Loss 1.2918 | Accuracy 0.5200 
Epoch 00189 | Loss 1.3900 | Accuracy 0.5667 
Epoch 00199 | Loss 1.3063 | Accuracy 0.5400 
Epoch 00209 | Loss 1.3015 | Accuracy 0.5800 
Epoch 00219 | Loss 1.2851 | Accuracy 0.6467 
Epoch 00229 | Loss 1.2089 | Accuracy 0.6467 
Epoch 00239 | Loss 1.2268 | Accuracy 0.5800 
Epoch 00249 | Loss 1.1929 | Accuracy 0.5867 
Epoch 00259 | Loss 1.1924 | Accuracy 0.5600 
Epoch 00269 | Loss 1.2186 | Accuracy 0.5333 
Epoch 00279 | Loss 1.1636 | Accuracy 0.6133 
Epoch 00289 | Loss 1.1430 | Accuracy 0.6000 
Epoch 00299 | Loss 1.1604 | Accuracy 0.6333 
Epoch 00309 | Loss 1.1172 | Accuracy 0.5867 
Epoch 00319 | Loss 1.1442 | Accuracy 0.6733 
Epoch 00329 | Loss 1.1032 | Accuracy 0.6267 
Epoch 00339 | Loss 1.1844 | Accuracy 0.6333 
Epoch 00349 | Loss 1.1430 | Accuracy 0.6867 
Epoch 00359 | Loss 1.0654 | Accuracy 0.6333 
Epoch 00369 | Loss 1.0837 | Accuracy 0.6267 
Epoch 00379 | Loss 1.1178 | Accuracy 0.6400 
Epoch 00389 | Loss 1.0459 | Accuracy 0.6667 
Epoch 00399 | Loss 1.1265 | Accuracy 0.6400 
Epoch 00409 | Loss 1.0901 | Accuracy 0.5867 
Epoch 00419 | Loss 1.0856 | Accuracy 0.6667 
Epoch 00429 | Loss 1.0732 | Accuracy 0.6733 
Epoch 00439 | Loss 1.0881 | Accuracy 0.6400 
Epoch 00449 | Loss 0.9851 | Accuracy 0.6600 
Epoch 00459 | Loss 1.0193 | Accuracy 0.6533 
Epoch 00469 | Loss 1.0172 | Accuracy 0.6400 
Epoch 00479 | Loss 1.0508 | Accuracy 0.6800 
Epoch 00489 | Loss 0.9848 | Accuracy 0.6267 
Epoch 00499 | Loss 0.9910 | Accuracy 0.6800 
Epoch 00509 | Loss 1.0859 | Accuracy 0.6267 
Epoch 00519 | Loss 1.0219 | Accuracy 0.6667 
Epoch 00529 | Loss 1.0132 | Accuracy 0.6400 
Epoch 00539 | Loss 1.0426 | Accuracy 0.6067 
Epoch 00549 | Loss 1.0147 | Accuracy 0.6600 
Epoch 00559 | Loss 1.0825 | Accuracy 0.6200 
Epoch 00569 | Loss 0.9606 | Accuracy 0.6467 
Epoch 00579 | Loss 1.0549 | Accuracy 0.6667 
Epoch 00589 | Loss 1.0247 | Accuracy 0.6267 
Epoch 00599 | Loss 1.0297 | Accuracy 0.6000 
Epoch 00609 | Loss 1.0189 | Accuracy 0.7467 
Epoch 00619 | Loss 0.9675 | Accuracy 0.6867 
Epoch 00629 | Loss 0.9468 | Accuracy 0.6533 
Epoch 00639 | Loss 0.9721 | Accuracy 0.6400 
Epoch 00649 | Loss 0.9483 | Accuracy 0.6800 
Epoch 00659 | Loss 0.9573 | Accuracy 0.6733 
Epoch 00669 | Loss 1.0819 | Accuracy 0.6800 
Epoch 00679 | Loss 0.9823 | Accuracy 0.6733 
Epoch 00689 | Loss 0.9998 | Accuracy 0.6200 
Epoch 00699 | Loss 1.0039 | Accuracy 0.5800 
Epoch 00709 | Loss 0.9905 | Accuracy 0.6600 
Epoch 00719 | Loss 0.9463 | Accuracy 0.7267 
Epoch 00729 | Loss 0.9414 | Accuracy 0.6467 
Epoch 00739 | Loss 1.0006 | Accuracy 0.6200 
Epoch 00749 | Loss 1.0249 | Accuracy 0.7133 
Epoch 00759 | Loss 0.8892 | Accuracy 0.6800 
Epoch 00769 | Loss 0.9783 | Accuracy 0.6667 
Epoch 00779 | Loss 0.9879 | Accuracy 0.6600 
Epoch 00789 | Loss 0.9733 | Accuracy 0.6667 
Epoch 00799 | Loss 1.0107 | Accuracy 0.6533 
Epoch 00809 | Loss 0.8871 | Accuracy 0.7267 
Epoch 00819 | Loss 1.0311 | Accuracy 0.6667 
Epoch 00829 | Loss 0.8787 | Accuracy 0.7067 
Epoch 00839 | Loss 0.9315 | Accuracy 0.6600 
