Epoch 00009 | Loss 2.3049 | Accuracy 0.0867 
Epoch 00019 | Loss 2.2891 | Accuracy 0.1400 
Epoch 00029 | Loss 2.2619 | Accuracy 0.2267 
Epoch 00039 | Loss 2.2434 | Accuracy 0.2267 
Epoch 00049 | Loss 2.2155 | Accuracy 0.3200 
Epoch 00059 | Loss 2.1623 | Accuracy 0.3600 
Epoch 00069 | Loss 2.0932 | Accuracy 0.3667 
Epoch 00079 | Loss 2.0087 | Accuracy 0.4467 
Epoch 00089 | Loss 1.9388 | Accuracy 0.4200 
Epoch 00099 | Loss 1.8122 | Accuracy 0.4600 
Epoch 00109 | Loss 1.7133 | Accuracy 0.5867 
Epoch 00119 | Loss 1.6577 | Accuracy 0.4867 
Epoch 00129 | Loss 1.5675 | Accuracy 0.5133 
Epoch 00139 | Loss 1.5717 | Accuracy 0.6067 
Epoch 00149 | Loss 1.5368 | Accuracy 0.6400 
Epoch 00159 | Loss 1.4965 | Accuracy 0.5600 
Epoch 00169 | Loss 1.4697 | Accuracy 0.5000 
Epoch 00179 | Loss 1.3988 | Accuracy 0.6133 
Epoch 00189 | Loss 1.3163 | Accuracy 0.5733 
Epoch 00199 | Loss 1.3944 | Accuracy 0.6867 
Epoch 00209 | Loss 1.2751 | Accuracy 0.6400 
Epoch 00219 | Loss 1.2492 | Accuracy 0.6267 
Epoch 00229 | Loss 1.3100 | Accuracy 0.6267 
Epoch 00239 | Loss 1.2200 | Accuracy 0.6333 
Epoch 00249 | Loss 1.2443 | Accuracy 0.6667 
Epoch 00259 | Loss 1.2085 | Accuracy 0.7067 
Epoch 00269 | Loss 1.2124 | Accuracy 0.6533 
Epoch 00279 | Loss 1.2673 | Accuracy 0.6200 
Epoch 00289 | Loss 1.2219 | Accuracy 0.6400 
Epoch 00299 | Loss 1.1814 | Accuracy 0.6267 
Epoch 00309 | Loss 1.1032 | Accuracy 0.6333 
Epoch 00319 | Loss 1.1175 | Accuracy 0.6733 
Epoch 00329 | Loss 1.1272 | Accuracy 0.6333 
Epoch 00339 | Loss 1.1073 | Accuracy 0.6200 
Epoch 00349 | Loss 1.1175 | Accuracy 0.6600 
Epoch 00359 | Loss 1.0570 | Accuracy 0.6733 
Epoch 00369 | Loss 1.1087 | Accuracy 0.7067 
Epoch 00379 | Loss 1.0698 | Accuracy 0.5533 
Epoch 00389 | Loss 1.0635 | Accuracy 0.6333 
Epoch 00399 | Loss 1.1005 | Accuracy 0.6000 
Epoch 00409 | Loss 1.0372 | Accuracy 0.6067 
Epoch 00419 | Loss 1.0985 | Accuracy 0.5933 
Epoch 00429 | Loss 1.0745 | Accuracy 0.7267 
Epoch 00439 | Loss 1.0568 | Accuracy 0.6933 
Epoch 00449 | Loss 1.0729 | Accuracy 0.7000 
Epoch 00459 | Loss 1.0511 | Accuracy 0.6933 
Epoch 00469 | Loss 1.0499 | Accuracy 0.6000 
Epoch 00479 | Loss 0.9791 | Accuracy 0.6667 
Epoch 00489 | Loss 1.0473 | Accuracy 0.7133 
Epoch 00499 | Loss 1.0858 | Accuracy 0.6133 
Epoch 00509 | Loss 1.0078 | Accuracy 0.6933 
Epoch 00519 | Loss 1.0630 | Accuracy 0.6333 
Epoch 00529 | Loss 1.0068 | Accuracy 0.6667 
Epoch 00539 | Loss 1.0038 | Accuracy 0.6733 
Epoch 00549 | Loss 1.0355 | Accuracy 0.7067 
Epoch 00559 | Loss 1.0309 | Accuracy 0.7467 
Epoch 00569 | Loss 1.0422 | Accuracy 0.6600 
Epoch 00579 | Loss 0.9844 | Accuracy 0.6333 
Epoch 00589 | Loss 1.0201 | Accuracy 0.6067 
Epoch 00599 | Loss 0.9892 | Accuracy 0.5800 
Epoch 00609 | Loss 0.9313 | Accuracy 0.7133 
Epoch 00619 | Loss 0.9586 | Accuracy 0.7000 
